2023-07-05 02:07:143 INFO  ProductPageandOrder :84 - Select Quantity : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //input[@name='quantity']]
2023-07-05 02:07:292 INFO  ProductPageandOrder :89 - Click on Add to cart : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //button[@id='button-cart']]
2023-07-05 02:07:667 INFO  ProductPageandOrder :94 - Click on shopping cart : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> link text: shopping cart]
2023-07-05 02:07:242 INFO  ProductPageandOrder :104 - Verify Product name text : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div/table/tbody/tr/td[2]/a]
2023-07-05 02:07:291 INFO  ProductPageandOrder :109 - Verify Delivary date : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@id='content']/form/div/table/tbody/tr/td[2]/small[1]]
2023-07-05 02:07:329 INFO  ProductPageandOrder :114 - Verify Model no. : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //div[@id='content']/form/div/table/tbody/tr/td[3]]
2023-07-05 02:07:358 INFO  ProductPageandOrder :134 - Change currency : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: //form[@id='form-currency']/div/button/span]
2023-07-05 02:07:14 INFO  ProductPageandOrder :149 - Verify Total amount : [[ChromeDriver: chrome on WINDOWS (a04d1e75ed4b9401e0bcdbb3649350b7)] -> xpath: (//table[@class='table table-bordered']/tbody/tr[4]/td[2])[2]]
2023-07-05 02:07:717 INFO  ManageBrowser :32 - launching chrome browser
2023-07-05 02:07:156 INFO  TopMenuPage :29 - Select Menu Items : [[[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //ul[@class='nav navbar-nav']/li]]
2023-07-05 02:07:302 INFO  TopMenuPage :33 - Select Show All Menu Items : [[[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='dropdown-menu']/a], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='dropdown-menu']/a]]
2023-07-05 02:07:945 INFO  ProductPageandOrder :55 - Set Sort By Order : [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //select[@id='input-sort']]
2023-07-05 02:07:407 INFO  ProductPageandOrder :60 - Select Product : [[[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='caption']/h4/a], [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='caption']/h4/a]]
2023-07-05 02:07:410 INFO  ProductPageandOrder :74 - Verify Product text : [[ChromeDriver: chrome on WINDOWS (3184bb26481598bbf2fb7b1c8a737e0b)] -> xpath: //div[@class='col-sm-4']/h1]
